ciudad,provincia,latitud,longitud
"Calabria","Los Ríos",-1.7833333333333332,-79.56666666666666
"Calacali","Pichincha",0.0,-78.51666666666667
"Calceta","Manabí",-0.85,-80.16666666666667
"Calcicante","Guayas",-2.183333333333333,-80.6
"Caldera","Azuay",-2.8166666666666664,-78.95
"Calderon","Esmeraldas",1.1786111111111113,-78.76527777777778
"Calderon","Pichincha",-0.1,-78.43333333333334
"Caledonias","Azuay",-3.216666666666667,-79.21666666666667
"Calentura","Guayas",-2.1166666666666667,-79.83333333333333
"Calera","Pichincha",-0.03333333333333333,-78.56666666666666
"Calhuache","Chimborazo",-1.7333333333333334,-78.71666666666667
"Calichana","El Oro",-3.4,-79.81666666666666
